sku,manufacturer_sku,manufacturer_name,short_description,sell_price,srp_price,currency_id,wequote_id
DLFR2FXGSWKPKP,,Black Nova,Alba collection Frame double frame Glass Sand White  Combination: Keypad  Keypad,4000,0,ZAR,1208218
DLFR2FXGSWKPM1,,Black Nova,Alba collection Frame double frame Glass Sand White  Combination: Keypad  Multipurpose/Temperature,5250.43,0,ZAR,1208219
DLFR2FXGSWM1KP,,Black Nova,Alba collection Frame double frame Glass Sand White  Combination: Multipurpose/Temperature control,5250.43,0,ZAR,1208220
DLFR2FXGSWM1M1,,Black Nova,Alba collection Frame double frame Glass Sand White  Combination: Multipurpose/Temperature control,6500,0,ZAR,1208221
DLFR2FXGVGKPKP,,Black Nova,Alba collection Frame double frame Glass Venetian Gold  Combination: Keypad  Keypad,4278.26,0,ZAR,1208222
DLFR2FXGVGKPM1,,Black Nova,Alba collection Frame double frame Glass Venetian Gold  Combination: Keypad  Multipurpose/Temperat,4278.26,0,ZAR,1208223
DLFR2FXGVGM1KP,,Black Nova,Alba collection Frame double frame Glass Venetian Gold  Combination: Multipurpose/Temperature contr,4278.26,0,ZAR,1208224
DLFR2FXGVGM1M1,,Black Nova,Alba collection Frame double frame Glass Venetian Gold  Combination: Multipurpose/Temperature contr,4278.26,0,ZAR,1208225
DLFR2FXGYBKPKP,,Black Nova,Alba collection Frame double frame Glass York Black  Combination: Keypad  Keypad,4278.26,0,ZAR,1208226
DLFR2FXGYBKPM1,,Black Nova,Alba collection Frame double frame Glass York Black  Combination: Keypad  Multipurpose/Temperature,4278.26,0,ZAR,1208227
DLFR2FXGYBM1KP,,Black Nova,Alba collection Frame double frame Glass York Black  Combination: Multipurpose/Temperature control,4278.26,0,ZAR,1208228
DLFR2FXGYBM1M1,,Black Nova,Alba collection Frame double frame Glass York Black  Combination: Multipurpose/Temperature control,4278.26,0,ZAR,1208229
DLFR2FLGIWKPSK,,Black Nova,Alba collection Frame double frame Legrand Arteor Glass Ice White  Combination: Keypad  Socket,4278.26,0,ZAR,1208193
DLFR2FLGIWM1SK,,Black Nova,Alba collection Frame double frame Legrand Arteor Glass Ice White  Combination: Multipurpose/Temper,4278.26,0,ZAR,1208194
