odoo_id,sku,display_name,list_price,standard_price
15362,WFB-MBENGV-00,[WFB-MBENGV-00] ASCEND ENGRAVING (BLACK),1167.83,817.48
15337,WFB-BAENGV-00,[WFB-BAENGV-00] ASCEND ENGRAVING (BRUSHED ALUMINUM),1167.83,817.48
15342,WFB-BBENGV-00,[WFB-BBENGV-00] ASCEND ENGRAVING (BRUSHED BLACK),1167.83,817.48
15347,WFB-BRENGV-00,[WFB-BRENGV-00] ASCEND ENGRAVING (BRUSHED BRASS),1167.83,817.48
15352,WFB-BZENGV-00,[WFB-BZENGV-00] ASCEND ENGRAVING (BRUSHED BRONZE),1167.83,817.48
15357,WFB-LAENGV-00,[WFB-LAENGV-00] ASCEND ENGRAVING (LIGHT ALMOND),1167.83,817.48
15372,WFB-MNENGV-00,[WFB-MNENGV-00] ASCEND ENGRAVING (NICKEL),1167.83,817.48
15377,WFB-SWENGV-00,[WFB-SWENGV-00] ASCEND ENGRAVING (SNOW WHITE),1167.83,817.48
15367,WFB-MGENGV-00,[WFB-MGENGV-00] ASCEND ENGRAVING (SPACE GRAY),1167.83,817.48
15079,FF1-0S0MBM-00,[FF1-0S0MBM-00] ASCEND FACEPLATE - 1 GANG (BLACK),782.61,626.09
15074,FF1-0S0BAM-00,[FF1-0S0BAM-00] ASCEND FACEPLATE - 1 GANG (BRUSHED ALUMINUM),782.61,626.09
15075,FF1-0S0BBM-00,[FF1-0S0BBM-00] ASCEND FACEPLATE - 1 GANG (BRUSHED BLACK),782.61,626.09
15076,FF1-0S0BRM-00,[FF1-0S0BRM-00] ASCEND FACEPLATE - 1 GANG (BRUSHED BRASS),782.61,626.09
15077,FF1-0S0BZM-00,[FF1-0S0BZM-00] ASCEND FACEPLATE - 1 GANG (BRUSHED BRONZE),782.61,626.09
15078,FF1-0S0LAM-00,[FF1-0S0LAM-00] ASCEND FACEPLATE - 1 GANG (LIGHT ALMOND),782.61,626.09
15081,FF1-0S0MNM-00,[FF1-0S0MNM-00] ASCEND FACEPLATE - 1 GANG (NICKEL),782.61,626.09
15082,FF1-0S0SWM-00,[FF1-0S0SWM-00] ASCEND FACEPLATE - 1 GANG (SNOW WHITE),782.61,626.09
15080,FF1-0S0MGM-00,[FF1-0S0MGM-00] ASCEND FACEPLATE - 1 GANG (SPACE GRAY),782.61,626.09
15088,FF2-0S0MBM-00,[FF2-0S0MBM-00] ASCEND FACEPLATE - 2 GANG (BLACK),979.13,783.31
15083,FF2-0S0BAM-00,[FF2-0S0BAM-00] ASCEND FACEPLATE - 2 GANG (BRUSHED ALUMINUM),979.13,783.31
15084,FF2-0S0BBM-00,[FF2-0S0BBM-00] ASCEND FACEPLATE - 2 GANG (BRUSHED BLACK),979.13,783.31
15085,FF2-0S0BRM-00,[FF2-0S0BRM-00] ASCEND FACEPLATE - 2 GANG (BRUSHED BRASS),979.13,783.31
15086,FF2-0S0BZM-00,[FF2-0S0BZM-00] ASCEND FACEPLATE - 2 GANG (BRUSHED BRONZE),979.13,783.31
15087,FF2-0S0LAM-00,[FF2-0S0LAM-00] ASCEND FACEPLATE - 2 GANG (LIGHT ALMOND),979.13,783.31
15090,FF2-0S0MNM-00,[FF2-0S0MNM-00] ASCEND FACEPLATE - 2 GANG (NICKEL),979.13,783.31
15091,FF2-0S0SWM-00,[FF2-0S0SWM-00] ASCEND FACEPLATE - 2 GANG (SNOW WHITE),979.13,783.31
15089,FF2-0S0MGM-00,[FF2-0S0MGM-00] ASCEND FACEPLATE - 2 GANG (SPACE GRAY),979.13,783.31
15097,FF3-0S0MBM-00,[FF3-0S0MBM-00] ASCEND FACEPLATE - 3 GANG (BLACK),1174.78,939.83
15092,FF3-0S0BAM-00,[FF3-0S0BAM-00] ASCEND FACEPLATE - 3 GANG (BRUSHED ALUMINUM),1174.78,939.83
15093,FF3-0S0BBM-00,[FF3-0S0BBM-00] ASCEND FACEPLATE - 3 GANG (BRUSHED BLACK),1174.78,939.83
