sku,product_name,brand,wequote_sell_price_zar,odoo_sales_price_zar,price_diff_wequote_minus_odoo,odoo_cost_price_zar,wequote_msrp_zar,status
40145,PS-S83T WHITE PRO SURFACE MOUNT (Pair),Sonance,23565.22,23565.22,0.0,14139.14,0.0,Matched - price identical
40146,PS-S83T WHITE PRO SURFACE MOUNT (Single),Sonance,14760.0,14760.0,0.0,8856.0,0.0,Matched - price identical
40196,SONANCE OMNI 6T,Sonance,13724.35,13724.35,0.0,8234.61,0.0,Matched - price identical
40197,SONANCE IS8T,Sonance,32429.57,32429.57,0.0,19457.74,0.0,Matched - price identical
46KB6B,"""""KICKER KB6 6.5"""" 2-WAY FULL RA""",Kicker Home Audio,3477.39,3477.39,0.0,2086.43,0.0,Matched - price identical
46KB6G,"""""KICKER KB6 6.5"""" 2-WAY FULL RA""",Kicker Home Audio,3477.39,3477.39,0.0,0.0,0.0,Matched - price identical
46KB6W,Kicker 46KB6W Full Range White Speakers,Kicker Home Audio,3477.39,3477.39,0.0,2086.43,0.0,Matched - price identical
5250 Part,5250 Power Button Assembly,Parasound,31295.65,31295.65,0.0,933.58,0.0,Matched - price identical
70141,LAUNCH BASESTATION - SILVER,Sonance,8427.83,8427.83,0.0,5899.48,0.0,Matched - price identical
70142,SONANCE LAUNCH WALLSTATION WHITE,Sonance,8427.83,8427.83,0.0,5899.48,0.0,Matched - price identical
70158,SONANCE LAUNCH BASESTATION - BLACK,Sonance,8427.83,8427.83,0.0,5899.48,0.0,Matched - price identical
70169,SONANCE SECURTIY PACK,Sonance,752.17,752.17,0.0,526.53,0.0,Matched - price identical
70170,SONANCE LAUNCH WALLSTATION BLACK,Sonance,8427.83,8427.83,0.0,5899.48,0.0,Matched - price identical
70300,SONANCE LAUNCH AP.5 SLEEVE BLACK works with iPad Pro 9.7 iPad 9.7  iPad Air and iPad Air 2,Sonance,6290.43,6290.43,0.0,4403.31,0.0,Matched - price identical
70301,"""""LAUNCH AP.5 SLEEVE WHITE works with iPad Pro 9.7""""""",Sonance,6290.43,6290.43,0.0,4403.31,0.0,Matched - price identical
70304,IPORT LAUNCH AM.2 SLEEVE BLACK works with iPad Mini iPad Mini 2 iPad Mini 3 iPad Mini 4 and iPad Mi,Sonance,6320.87,6320.87,0.0,4424.61,0.0,Matched - price identical
70305,SONANCE LAUNCH AM.2 SLEEVE WHITE,Sonance,6320.87,6320.87,0.0,4424.61,0.0,Matched - price identical
70310,IPORT IPORT POWER SUPPLY 15V 2A - BLACK,Sonance,1404.35,1404.35,0.0,983.05,0.0,Matched - price identical
70311,IPORT IPORT POWER SUPPLY 15V 2A - WHITE,Sonance,1404.35,1404.35,0.0,983.05,0.0,Matched - price identical
70314,IPORT IPORT POWER WALL PLATE,Sonance,500.87,500.87,0.0,350.61,0.0,Matched - price identical
70315,IPORT LAUNCH WALLSTATION FASCIA WHITE,Sonance,500.87,500.87,0.0,350.61,0.0,Matched - price identical
70316,IPORT LAUNCH WALLSTATION FASCIA BLACK,Sonance,500.87,500.87,0.0,350.61,0.0,Matched - price identical
70390,IPORT LAUNCH CASE 10.2 10.5 BLACK,Sonance,6320.87,6320.87,0.0,4424.61,0.0,Matched - price identical
70391,SONANCE LAUNCH CASE 10.2 10.5 WHITE - Shipping mid-March 2020,Sonance,6320.87,6320.87,0.0,4424.61,0.0,Matched - price identical
70700,SONANCE SURFACE MOUNT BEZEL BLACK works with iPad Mini 3 Mini 2 and Mini - While Supplies Last,Sonance,11587.83,11587.83,0.0,8111.48,0.0,Matched - price identical
70701,IPORT SURFACE MOUNT BEZEL SILVER works with iPad Mini 3 Mini 2 and Mini - While Supplies Last,Sonance,11587.83,11587.83,0.0,8111.48,0.0,Matched - price identical
70702,IPORT SURFACE MOUNT BEZEL WHITE works with iPad Mini 3 Mini 2 and Mini - While Supplies Last,Sonance,11587.83,11587.83,0.0,8111.48,0.0,Matched - price identical
70703,IPORT SURFACE MOUNT BEZEL BLACK works with iPad Pro 9.7 Air 2 and iPad Air,Sonance,13685.22,13685.22,0.0,9579.66,0.0,Matched - price identical
70704,"""""IPORT SURFACE MOUNT BEZEL SILVER works with iPad Pro 9.7""""""""  Air 2 and iPad Air""",Sonance,13685.22,13685.22,0.0,9579.66,0.0,Matched - price identical
70705,IPORT SURFACE MOUNT BEZEL WHITE works with iPad Pro 9.7  Air 2 and iPad Air,Sonance,13685.22,13685.22,0.0,9579.66,0.0,Matched - price identical
70718,IPORT POE SPLITTER works with all Bezels,Sonance,5266.96,5266.96,0.0,3686.87,0.0,Matched - price identical
70719,IPORT POE INJECTOR works with all Bezels,Sonance,2006.09,2006.09,0.0,1404.27,0.0,Matched - price identical
70720,IPORT GLASS MOUNTING KIT works with iPad Mini iPad Air iPad Pro 10.5 and iPad Pro 12.9,Sonance,752.17,752.17,0.0,526.53,0.0,Matched - price identical
70722,IPORT SURFACE MOUNT BEZEL BLACK works with iPad Mini 4 and iPad Mini 5th Gen,Sonance,10534.78,10534.78,0.0,7374.35,0.0,Matched - price identical
70723,IPORT SURFACE MOUNT BEZEL SILVER works with iPad Mini 4 and iPad Mini 5th Gen,Sonance,10534.78,10534.78,0.0,7374.35,0.0,Matched - price identical
70724,IPORT SURFACE MOUNT BEZEL WHITE works with iPad Mini 4 and iPad Mini 5th Gen,Sonance,10534.78,10534.78,0.0,7374.35,0.0,Matched - price identical
70744,IPORT SURFACE MOUNT BEZEL SILVER works with iPad Pro 12.9  - While Supplies Last,Sonance,19975.65,19975.65,0.0,13982.96,0.0,Matched - price identical
70791,IPORT POE SURFACE MOUNT DATA CABLE,Sonance,752.17,752.17,0.0,526.53,0.0,Matched - price identical
70796,IPORT SURFACE MOUNT BEZEL BLACK works with iPad Air 3rd gen 10.5-inch | iPad 7th gen. 10.2,Sonance,12290.43,12290.43,0.0,8603.31,0.0,Matched - price identical
70797,IPORT SURFACE MOUNT BEZEL SILVER works with iPad Air 3rd gen 10.5-inch | iPad 7th gen. 10.2,Sonance,12290.43,12290.43,0.0,8603.31,0.0,Matched - price identical
