sku,description,sales_price,cost
CON-10NFN-00,RJ45 SERIAL ADAPTERS  NO FLOW NULL  10-PACK,2060.0,1236.0
CON-1NFN-00,RJ45 SERIAL ADAPTERS  NO FLOW NULL  SINGLE,205.22,123.14
CON-10FNN-00,RJ45 SERIAL ADAPTERS FLOW NO NULL 10-PACK,2060.0,1236.0
CON-1FNN-00,RJ45 SERIAL ADAPTERS FLOW NO NULL SINGLE,205.22,123.14
CON-10FN-00,RJ45 SERIAL ADAPTERS FLOW NULL 10-PACK,2060.0,1236.0
CON-1FN-00,RJ45 SERIAL ADAPTERS FLOW NULL SINGLE,205.22,123.14
CON-10NFNN-00,RJ45 SERIAL ADAPTERS NO FLOW NO NULL 10-PACK,2060.0,1236.0
CON-1NFNN-00,RJ45 SERIAL ADAPTERS NO FLOW NO NULL SINGLE,205.22,123.14
AUTOMATE-PULSE2,ROLLEASE AUTOMATE PULSE HUB 2,14784.35,8870.609999999999
AUTOMATE-BAT1.1,ROLLEASE AUTOMATE | LION 1.1 SHADE MOTOR,9559.13,5735.48
AUTOMATE-CHRG,ROLLEASE AUTOMATE | LION CHARGER,1470.4299999999998,882.27
AUTOMATE-BATQ2.0,ROLLEASE AUTOMATE | LION Q2.0 SHADE MOTOR,10588.7,6353.219999999999
AUTOMATE-REM1,ROLLEASE AUTOMATE | PARADIGM 1 CHANNEL REMOTE,3330.43,1998.27
AUTOMATE-BKCONV2.0,ROLLEASE Q2.0 MOTOR FINISH 10 PACK (BLACK),1028.7,617.22
AUTOMATE-SACONV2.0,ROLLEASE Q2.0 MOTOR FINISH 10 PACK (SILVER ALUMINUM),1470.4299999999998,882.27
AUTOMATE-WHCONV2.0,ROLLEASE Q2.0 MOTOR FINISH 10 PACK (WHITE),1028.7,617.22
RS485-DIS4,RS485 distributor box,2173.5499999999997,1499.0
RUBICON 2 W,RUBICON 2 WHITE BOOKSHELF SPEAKER,36513.04,21907.83
RUBICON 8 B,RUBICON 8 BLACK HIGH GLOSS FLOOR STANDING SPEAKER,92165.22,55299.130000000005
RUBICON LCR R,RUBICON ROSSO LEFT CENTER RIGHT,20860.87,12516.52
